To Date,Ozone,CO,SO2,NO2,PM10,PM2.5,State,City,Station,AQI,AQI Category
22-09-2021 00:00,2.28,0.47,20.21,19.1,40.39,18.89,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",40.0,Good
23-09-2021 00:00,3.91,0.44,25.09,17.13,54.2,25.24,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",54.0,Moderate
24-09-2021 00:00,2.97,0.55,26.36,22.17,47.61,26.15,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",48.0,Good
25-09-2021 00:00,7.96,0.48,24.59,23.67,56.34,19.65,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",56.0,Moderate
26-09-2021 00:00,13.28,0.44,20.73,15.61,49.67,22.99,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",50.0,Good
27-09-2021 00:00,10.93,0.52,34.24,18.69,62.73,30.16,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",63.0,Moderate
28-09-2021 00:00,12.6,0.45,16.19,14.89,58.17,26.49,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",58.0,Moderate
29-09-2021 00:00,6.59,0.4,18.29,12.59,21.77,8.84,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",23.0,Good
30-09-2021 00:00,5.35,0.65,20.7,17.97,39.18,15.66,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",39.0,Good
01-10-2021 00:00,7.3,0.54,36.89,21.21,52.06,17.85,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",52.0,Moderate
02-10-2021 00:00,10.11,0.71,18.37,23.05,97.37,39.85,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",97.0,Moderate
03-10-2021 00:00,11.33,0.46,5.04,13.9,46.23,14.31,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",46.0,Good
04-10-2021 00:00,13.6,0.51,7.9,17.4,55.26,16.38,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",55.0,Moderate
05-10-2021 00:00,12.71,0.73,9.53,27.38,61.74,25.41,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",62.0,Moderate
06-10-2021 00:00,9.46,0.58,15.17,19.55,69.9,32.68,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",70.0,Moderate
07-10-2021 00:00,5.37,0.38,5.7,9.53,37.96,15.85,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",38.0,Good
08-10-2021 00:00,6.4,0.53,7.15,14.58,45.05,12.04,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",45.0,Good
09-10-2021 00:00,11.18,0.64,12.24,27.56,81.98,32.3,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",82.0,Moderate
10-10-2021 00:00,5.64,0.64,21.98,22.5,58.26,26.66,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",58.0,Moderate
11-10-2021 00:00,6.82,0.57,20.17,21.4,87.11,36.34,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",87.0,Moderate
12-10-2021 00:00,6.19,0.57,20.93,20.7,122.11,45.86,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",115.0,Moderate
13-10-2021 00:00,,0.48,14.53,21.72,123.24,50.53,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",116.0,Moderate
